Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI
GRB161004B,2MASSJ0729-3954,112.25010400000001,-39.901222,,IRAC Map PC,44502784,2MASSJ0729 ep1,2012-12-25 17:43:42,2012-12-25 17:46:40,80233,"Dupuy, Trent"
GRB161004B,2MASSJ0729-3954,112.25010400000001,-39.901222,,IRAC Map PC,44503296,2MASSJ0729 ep3,2012-05-03 00:31:21,2012-05-03 00:34:18,80233,"Dupuy, Trent"
GRB161004B,2MASSJ0729-3954,112.25010400000001,-39.901222,,IRAC Map PC,49755392,2MASSJ0729 ep1,2014-01-01 15:22:41,2014-01-01 15:25:39,10149,"Dupuy, Trent"
GRB161004B,2MASSJ0729-3954,112.25010400000001,-39.901222,,IRAC Map PC,44503552,2MASSJ0729 ep4,2012-07-18 16:03:34,2012-07-18 16:06:32,80233,"Dupuy, Trent"
GRB161004B,2MASSJ0729-3954,112.25010400000001,-39.901222,,IRAC Map PC,49755648,2MASSJ0729 ep2,2014-07-11 19:03:15,2014-07-11 19:06:13,10149,"Dupuy, Trent"
GRB161004B,WISE0728-39,112.248099,-39.888671,,IRAC Map PC,44703744,Ch1&2 (epoch1) - WISE0728-39,2012-03-20 11:31:07,2012-03-20 11:37:47,80109,"Kirkpatrick, J.Davy"
GRB161004B,WISE0728-39,112.248099,-39.888671,,IRAC Map PC,44757248,Ch2 (epoch2) - WISE0728-39,2012-07-18 15:59:48,2012-07-18 16:02:59,80109,"Kirkpatrick, J.Davy"
GRB161001A,GRB161001A,71.919958,-57.260833,,IRAC Map PC,63316480,GRB161001A,2017-10-07 16:21:21,2017-10-07 17:26:06,13104,"Perley, Daniel A"
GRB160917A,Kepler18-1,294.12162,46.002749,,IRAC Map PC,51883008,Kepler 18 - edge1,2014-10-07 05:49:48,2014-10-07 08:54:28,10067,"Werner, Michael"
GRB160910A,Arp297,221.330833,38.753,,IRAC Map,10530304,IRAC-a297,2005-01-21 07:29:10,2005-01-21 07:50:57,3247,"Struck, Curtis J"
GRB160824A,167.61159GLIMPSE,79.40965899999999,39.980368,,IRAC Map PC,41129984,l167.61159+01.23750.20101105,2010-11-14 00:28:40,2010-11-14 01:16:42,61070,"Whitney, Barbara A"
GRB160821A,1999 HW1,,,3020949.0,IRAC Map PC,62040320,(1999_HW1) [6000s],2017-07-29 15:24:51,2017-07-29 17:15:41,13006,"Trilling, David E"
GRB160821A,GRB160821A,171.256667,42.334722,,IRAC Map PC,63318016,GRB160821A,2017-08-16 12:33:55,2017-08-16 13:40:15,13104,"Perley, Daniel A"
GRB160819A,237.48444GLIMPSE,113.65700600000001,-22.206833,,IRAC Map PC,42103808,l237.48444-01.03000.20110603,2011-06-11 15:53:03,2011-06-11 16:54:34,61071,"Whitney, Barbara A"
GRB160819A,237.76791GLIMPSE,113.80581000000001,-22.45459,,IRAC Map PC,42105344,l237.76791-01.03000.20110603,2011-06-11 16:55:38,2011-06-11 17:57:10,61071,"Whitney, Barbara A"
GRB160819A,l238.03558d-0.53563d,113.99246200000002,-21.5726,,IRAC Map PC,44297728,l238.03558d-0.53563d,2012-01-02 21:11:41,2012-01-02 21:17:26,61073,"Whitney, Barbara A"
GRB160819A,238.06860GLIMPSE,114.813731,-22.276826999999997,,IRAC Map PC,38288384,l238.06860-00.13000.20091202,2009-12-10 10:07:29,2009-12-10 11:15:59,61071,"Whitney, Barbara A"
GRB160804A,GRB160804A,221.62975,9.999083,,IRAC Map PC,63315200,GRB160804A,2017-10-11 03:58:16,2017-10-11 04:27:28,13104,"Perley, Daniel A"
GRB160801A,GRB160801A,212.762875,13.489167000000002,,IRAC Map PC,63311616,GRB160801A,2017-10-19 19:48:13,2017-10-19 20:52:58,13104,"Perley, Daniel A"
GRB160716A,304.21194GLIMPSE,190.470524,-61.850916000000005,,IRAC Map,16867584,l303 cover-up 10,2006-03-25 09:19:13,2006-03-25 09:57:24,146,"Churchwell, Ed"
GRB160607A,GRB160607A,13.66725,-4.948139,,IRAC Map PC,63311104,GRB160607A,2017-10-21 08:04:25,2017-10-21 10:13:56,13104,"Perley, Daniel A"
GRB160525A,213.03426GLIMPSE,103.05513499999999,-0.0147,,IRAC Map PC,42130944,l213.03426+00.16750.20110529,2011-06-03 11:32:16,2011-06-03 12:20:31,61073,"Whitney, Barbara A"
GRB160525A,213.30968GLIMPSE,103.180725,-0.259818,,IRAC Map PC,42115840,l213.30968+00.16750.20110529,2011-06-03 12:21:30,2011-06-03 13:09:45,61073,"Whitney, Barbara A"
GRB160503A,HELMS_RED_110,0.5367,-1.92242,,IRAC Map PC,60768000,IRACPC - HELMS_RED_110,2017-10-30 05:21:55,2017-10-30 06:07:24,13042,"Cooray, Asantha R"
GRB160425A,GRB160425A,280.327375,-54.360028,,IRAC Map PC,63313408,GRB160425A,2017-08-03 22:21:20,2017-08-03 22:50:33,13104,"Perley, Daniel A"
GRB160417A,GRB160417A,120.25683300000001,7.662944,,IRAC Map PC,63317760,GRB160417A,2017-08-03 06:38:19,2017-08-03 07:43:03,13104,"Perley, Daniel A"
GRB160410A,GRB160410A,150.684875,3.478444,,IRAC Map PC,63312128,GRB160410A,2017-08-22 20:15:13,2017-08-22 21:19:57,13104,"Perley, Daniel A"
GRB160410A,IRACPC-cosmos-4-ep1,150.757141,3.4112139999999997,,IRAC Map PC,66752256,IRACPC-cosmos-4-ep1,2018-09-15 22:39:08,2018-09-16 00:17:22,14081,"Sajina, Anna"
GRB160409A,4u1916-05,289.69908300000003,-5.2364440000000005,,IRAC Map,14414848,IRAC mapping 4u1916,2005-10-21 12:42:03,2005-10-21 12:55:52,20224,"Maccarone, Tom J"
GRB160401A,183.31111GLIMPSE,89.09290899999999,26.499326,,IRAC Map PC,38871808,l183.31111+00.79750.20100415,2010-04-19 16:09:30,2010-04-19 16:58:05,61070,"Whitney, Barbara A"
GRB160327A,GRB160327A,146.70225,54.012889,,IRAC Map PC,63317504,GRB160327A,2018-02-12 16:14:19,2018-02-12 17:19:04,13104,"Perley, Daniel A"
GRB160325A,SMC6,15.894333,-72.69675,,IRAC Map,10742272,IRAC-SMC6,2005-05-06 02:15:08,2005-05-06 05:05:58,3316,"Bolatto, Alberto D"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53356544,SMC-CL-0005-ep2,2015-08-12 23:50:38,2015-08-13 01:36:00,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53353984,SMC-CL-0005-ep9,2016-07-25 02:48:51,2016-07-25 04:34:23,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53354240,SMC-CL-0005-ep8,2016-02-03 08:44:33,2016-02-03 10:30:51,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53358080,SMC-CL-0005-ep10,2016-08-20 17:19:29,2016-08-20 19:04:58,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53357568,SMC-CL-0005-ep11,2016-09-17 20:03:47,2016-09-17 21:49:49,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53355264,SMC-CL-0005-ep5,2015-11-08 22:04:06,2015-11-08 23:50:45,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53357056,SMC-CL-0005-ep1,2015-07-15 04:18:38,2015-07-15 06:04:06,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53355776,SMC-CL-0005-ep4,2015-10-09 10:38:08,2015-10-09 12:24:39,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53356032,SMC-CL-0005-ep3,2015-09-08 08:01:01,2015-09-08 09:46:56,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53354496,SMC-CL-0005-ep7,2016-10-19 14:12:37,2016-10-19 15:59:11,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0005-corr,11.672375,-73.10375,,IRAC Map PC,53354752,SMC-CL-0005-ep6,2016-01-07 06:39:21,2016-01-07 08:25:40,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0002,15.477542000000001,-72.972889,,IRAC Map PC,53353728,SMC-CL-0002-ep1,2015-07-15 04:13:13,2015-07-15 04:17:46,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0002,15.477542000000001,-72.972889,,IRAC Map PC,53366528,SMC-CL-0002-ep6,2016-01-07 06:23:59,2016-01-07 06:28:29,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0002,15.477542000000001,-72.972889,,IRAC Map PC,53367040,SMC-CL-0002-ep4,2015-10-09 12:32:28,2015-10-09 12:37:06,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0002,15.477542000000001,-72.972889,,IRAC Map PC,53365760,SMC-CL-0002-ep9,2016-07-25 02:29:46,2016-07-25 02:34:19,11163,"Sargent, Benjamin"
GRB160325A,SMC-CL-0002,15.477542000000001,-72.972889,,IRAC Map PC,53366272,SMC-CL-0002-ep7,2016-10-19 13:57:01,2016-10-19 14:01:38,11163,"Sargent, Benjamin"
GRB160325A,SMC,15.81,-72.89,,IRAC Map PC,64019968,map1b_col3_02,2017-08-29 07:52:57,2017-08-29 10:43:58,13096,"Sloan, Greg"
GRB160325A,SMC,15.81,-72.89,,IRAC Map,22830848,IRAC-map1-0202,2008-06-17 22:15:23,2008-06-18 01:13:31,40245,"Gordon, Karl"
GRB160325A,SMC,15.81,-72.89,,IRAC Map,22839296,IRAC-map2-0202,2008-09-18 11:40:29,2008-09-18 14:39:12,40245,"Gordon, Karl"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39768576,SMC HV01956 epoch2,2011-06-29 23:09:21,2011-06-29 23:11:19,70010,"Madore, Barry F"
GRB160325A,SMC,15.81,-72.89,,IRAC Map PC,64929280,map2a_row3_02_Dec4,2017-12-04 07:44:06,2017-12-04 10:36:29,13096,"Sloan, Greg"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39771136,SMC HV01956 epoch12,2011-12-02 07:02:01,2011-12-02 07:03:58,70010,"Madore, Barry F"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39768320,SMC HV01956 epoch1,2011-06-12 12:28:54,2011-06-12 12:30:52,70010,"Madore, Barry F"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39768832,SMC HV01956 epoch3,2011-07-16 03:53:01,2011-07-16 03:54:58,70010,"Madore, Barry F"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39769344,SMC HV01956 epoch5,2012-01-01 20:59:08,2012-01-01 21:01:06,70010,"Madore, Barry F"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39769088,SMC HV01956 epoch4,2011-07-29 17:48:25,2011-07-29 17:50:21,70010,"Madore, Barry F"
GRB160325A,HV01956,16.0625,-72.755556,,IRAC Map PC,39770880,SMC HV01956 epoch11,2011-11-30 16:48:29,2011-11-30 16:50:27,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39759360,SMC HV01925 epoch2,2010-08-28 05:30:31,2010-08-28 05:33:41,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39759616,SMC HV01925 epoch3,2010-08-29 16:35:03,2010-08-29 16:38:09,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39761920,SMC HV01925 epoch12,2010-09-11 15:00:24,2010-09-11 15:04:00,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39760896,SMC HV01925 epoch8,2010-09-06 07:47:01,2010-09-06 07:49:47,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39761152,SMC HV01925 epoch9,2010-09-07 07:37:29,2010-09-07 07:40:32,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39761664,SMC HV01925 epoch11,2010-09-09 22:36:57,2010-09-09 22:39:43,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39759104,SMC HV01925 epoch1,2010-08-26 21:45:42,2010-08-26 21:48:47,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39760128,SMC HV01925 epoch5,2010-09-01 10:32:12,2010-09-01 10:42:20,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39761408,SMC HV01925 epoch10,2010-09-09 06:50:08,2010-09-09 06:53:10,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39759872,SMC HV01925 epoch4,2010-08-30 22:48:50,2010-08-30 22:51:54,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39760640,SMC HV01925 epoch7,2010-09-04 16:28:33,2010-09-04 16:31:49,70010,"Madore, Barry F"
GRB160325A,HV01925,15.82375,-72.55111099999999,,IRAC Map PC,39760384,SMC HV01925 epoch6,2010-09-02 17:33:59,2010-09-02 17:36:47,70010,"Madore, Barry F"
GRB160325A,SMC-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,48527616,SMC-IRACPC-0001-ep7,2013-12-20 15:26:08,2013-12-20 15:29:38,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,48527360,SMC-IRACPC-0001-ep8,2014-01-21 10:34:30,2014-01-21 10:38:01,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,48529664,SMC-IRACPC-0001-ep2,2013-07-25 20:19:57,2013-07-25 20:23:27,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,48530176,SMC-IRACPC-0001-ep1,2013-06-26 13:04:41,2013-06-26 13:08:12,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,48529152,SMC-IRACPC-0001-ep3,2013-08-22 04:31:59,2013-08-22 04:35:30,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-2-CL,14.860207999999998,-72.394889,,IRAC Map PC,48524032,SMC-IRACPC-0002-ep3,2013-08-26 03:19:59,2013-08-26 03:29:16,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-2-CL,14.860207999999998,-72.394889,,IRAC Map PC,48524544,SMC-IRACPC-0002-ep2,2013-07-25 20:24:14,2013-07-25 20:33:27,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-2-CL-Less1,14.860271,-72.394889,,IRAC Map PC,48521984,SMC-IRACPC-0002-ep8,2014-01-21 10:38:43,2014-01-21 10:45:41,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-2-CL-Less1,14.860271,-72.394889,,IRAC Map PC,48522752,SMC-IRACPC-0002-ep6,2013-11-21 02:39:07,2013-11-21 02:46:07,90219,"Sargent, Benjamin"
GRB160325A,SMC-XAGB-2-CL-Less1,14.860271,-72.394889,,IRAC Map PC,48523008,SMC-IRACPC-0002-ep5,2013-10-24 02:35:20,2013-10-24 02:42:18,90219,"Sargent, Benjamin"
GRB160325A,SMC-VAR-2,14.02275,-72.662472,,IRAC Map PC,40243456,SMCVAR-2000,2010-12-24 12:45:17,2010-12-24 15:23:58,70020,"Meixner, Margaret"
GRB160325A,SMC-VAR-2,14.02275,-72.662472,,IRAC Map PC,40244736,SMCVAR-3000,2011-06-16 23:10:29,2011-06-17 01:49:58,70020,"Meixner, Margaret"
GRB160325A,SMC-VAR-2,14.02275,-72.662472,,IRAC Map PC,40242176,SMCVAR-1000,2010-09-12 20:49:51,2010-09-12 23:32:20,70020,"Meixner, Margaret"
GRB160325A,SMC-VAR-2,14.02275,-72.662472,,IRAC Map PC,40247040,SMCVAR-0000,2010-08-17 05:23:34,2010-08-17 08:09:03,70020,"Meixner, Margaret"
GRB160325A,SMC2-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,50019584,SMC2-IRACPC-0001-ep3,2014-08-29 06:25:49,2014-08-29 06:29:19,10154,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,50017792,SMC2-IRACPC-0001-ep8,2015-02-06 22:42:01,2015-02-06 22:45:33,10154,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-2-CL,14.860271,-72.394889,,IRAC Map PC,50013696,SMC2-IRACPC-0002-ep2,2014-08-06 14:25:32,2014-08-06 14:32:26,10154,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,50019840,SMC2-IRACPC-0001-ep2,2014-08-06 14:21:15,2014-08-06 14:24:46,10154,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,50020096,SMC2-IRACPC-0001-ep1,2014-07-07 05:36:56,2014-07-07 05:40:27,10154,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-1,15.173292000000002,-72.63341700000001,,IRAC Map PC,50018304,SMC2-IRACPC-0001-ep7,2015-01-01 12:58:34,2015-01-01 13:02:04,10154,"Sargent, Benjamin"
GRB160325A,SMC-2s-1-CL-nosub,12.776167,-73.276639,,IRAC Map PC,58422528,SMC3-IRACPC-0001-ep3,2016-02-13 00:49:17,2016-02-13 01:01:58,12097,"Sargent, Benjamin"
GRB160325A,SMC-2s-1-CL-nosub,12.776167,-73.276639,,IRAC Map PC,58423296,SMC3-IRACPC-0001-ep1,2015-12-31 17:37:30,2015-12-31 17:50:00,12097,"Sargent, Benjamin"
GRB160325A,SMC-2s-1-CL-nosub,12.776167,-73.276639,,IRAC Map PC,58422016,SMC3-IRACPC-0001-ep4,2016-07-25 02:35:15,2016-07-25 02:47:43,12097,"Sargent, Benjamin"
GRB160325A,SMC-2s-1-CL-nosub,12.776167,-73.276639,,IRAC Map PC,58420992,SMC3-IRACPC-0001-ep6,2016-09-16 16:06:00,2016-09-16 16:18:38,12097,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-2-CL,14.860271,-72.394889,,IRAC Map PC,50026496,SMC2-IRACPC-0002-ep8,2015-02-06 22:46:13,2015-02-06 22:53:16,10154,"Sargent, Benjamin"
GRB160325A,SMC2-XAGB-2-CL,14.860271,-72.394889,,IRAC Map PC,50027008,SMC2-IRACPC-0002-ep6,2014-12-10 04:49:30,2014-12-10 04:56:26,10154,"Sargent, Benjamin"
